CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;REDE;ANO_ESCOLAR;QT_MATRICULAS;TAXA_EVASAO;TAXA_APROVACAO;TAXA_REPROVACAO;EVASAO_ABSOLUTA;APROVADOS_ABSOLUTOS;REPROVADOS_ABSOLUTOS
3201902;Domingos Martins;ES;Municipal;6;381;0.003;0.943;0.054000000000000006;1.143;359.28299999999996;20.574
3201902;Domingos Martins;ES;Municipal;7;413;0.0;0.935;0.065;0.0;386.15500000000003;26.845000000000002
3201902;Domingos Martins;ES;Municipal;8;364;0.003;0.948;0.049;1.092;345.072;17.836000000000002
3201902;Domingos Martins;ES;Municipal;9;377;0.0;0.986;0.013999999999999999;0.0;371.722;5.278
3202009;Dores do Rio Preto;ES;Estadual;6;110;0.0;1.0;0.0;0.0;110.0;0.0
3202009;Dores do Rio Preto;ES;Estadual;7;128;0.0;0.992;0.008;0.0;126.976;1.024
3202009;Dores do Rio Preto;ES;Estadual;8;100;0.0;1.0;0.0;0.0;100.0;0.0
3202009;Dores do Rio Preto;ES;Estadual;9;114;0.0;1.0;0.0;0.0;114.0;0.0
3202009;Dores do Rio Preto;ES;Municipal;6;0;;;;0.0;0.0;0.0
3202009;Dores do Rio Preto;ES;Municipal;7;0;;;;0.0;0.0;0.0
3202009;Dores do Rio Preto;ES;Municipal;8;0;;;;0.0;0.0;0.0
3202009;Dores do Rio Preto;ES;Municipal;9;0;;;;0.0;0.0;0.0
3202108;Ecoporanga;ES;Estadual;6;225;0.0;1.0;0.0;0.0;225.0;0.0
3202108;Ecoporanga;ES;Estadual;7;255;0.0;0.98;0.02;0.0;249.9;5.1000000000000005
3202108;Ecoporanga;ES;Estadual;8;267;0.0;0.9840000000000001;0.016;0.0;262.728;4.272
3202108;Ecoporanga;ES;Estadual;9;310;0.0;0.973;0.027000000000000003;0.0;301.63;8.370000000000001
3202108;Ecoporanga;ES;Municipal;6;7;0.0;1.0;0.0;0.0;7.0;0.0
3202108;Ecoporanga;ES;Municipal;7;18;0.0;0.867;0.133;0.0;15.606;2.394
3202108;Ecoporanga;ES;Municipal;8;21;0.0;1.0;0.0;0.0;21.0;0.0
3202108;Ecoporanga;ES;Municipal;9;9;0.0;1.0;0.0;0.0;9.0;0.0
3202207;Fundão;ES;Estadual;6;69;0.0;0.985;0.015;0.0;67.965;1.035
3202207;Fundão;ES;Estadual;7;59;0.0;1.0;0.0;0.0;59.0;0.0
3202207;Fundão;ES;Estadual;8;70;0.0;1.0;0.0;0.0;70.0;0.0
3202207;Fundão;ES;Estadual;9;72;0.0;1.0;0.0;0.0;72.0;0.0
3202207;Fundão;ES;Municipal;6;228;0.009000000000000001;0.79;0.201;2.052;180.12;45.828
3202207;Fundão;ES;Municipal;7;177;0.0;0.8390000000000001;0.161;0.0;148.50300000000001;28.497
3202207;Fundão;ES;Municipal;8;176;0.012;0.799;0.18899999999999997;2.112;140.624;33.263999999999996
3202207;Fundão;ES;Municipal;9;128;0.0;0.9179999999999999;0.08199999999999999;0.0;117.50399999999999;10.495999999999999
3202256;Governador Lindenberg;ES;Estadual;6;150;0.0;0.993;0.006999999999999999;0.0;148.95;1.0499999999999998
3202256;Governador Lindenberg;ES;Estadual;7;128;0.0;0.976;0.024;0.0;124.928;3.072
3202256;Governador Lindenberg;ES;Estadual;8;136;0.0;0.9790000000000001;0.021;0.0;133.144;2.8560000000000003
3202256;Governador Lindenberg;ES;Estadual;9;148;0.015;0.971;0.013999999999999999;2.2199999999999998;143.708;2.0719999999999996
3202256;Governador Lindenberg;ES;Municipal;6;0;;;;0.0;0.0;0.0
3202256;Governador Lindenberg;ES;Municipal;7;0;;;;0.0;0.0;0.0
3202256;Governador Lindenberg;ES;Municipal;8;0;;;;0.0;0.0;0.0
